"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P4",20,FALSE,FALSE,FALSE,FALSE,3,0.381478412441251,0.381478412441251,0.0388659654590775,-96.7669448270558,0.999875175256687,3,NA,"troot(x4*x4)","x2*x4","x7",1,0.99995599884885,0.157387083545851
"P5",20,FALSE,FALSE,FALSE,FALSE,5,0.870275492085258,0.870275492085258,NA,-99.877214903911,NA,5,NA,"troot(x4*x4)","x4","x3*x4",0.915719016620848,0.551175224410131,0.529617354028471
"P1",21,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0892915077868426,-99.5125191073178,0.99642685755595,3,NA,"x4","x4*troot(x4)","x4*x10",0.955953936594127,0.955951447910637,0.955914426432551
"P2",21,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0346564884483848,-96.7669448270559,0.99994353185096,3,NA,"troot(x4*x4)","x4*x2","x4",0.939662914623504,0.924880965849258,0.100134420500373
"P3",21,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0326095697837085,-94.5244319535552,0.999960627833133,1,NA,"troot((x4*x6)*x4)",NA,NA,0.993222073255299,NA,NA
"P1",22,TRUE,FALSE,FALSE,TRUE,0,0.999999460710163,NA,0.0315469533584329,-94.3406692127019,0.999963375609164,2,NA,"troot((x6*x4)*x4)","troot((x7*x4)*x4)",NA,0.784088049875588,0.215816022519841,NA
"P2",22,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0373561499895659,-96.7669448270558,0.999903488209127,2,NA,"troot(x4*x4)","x2*x4",NA,0.979044717772606,0.97094149948388,NA
"P3",22,FALSE,FALSE,FALSE,FALSE,9,0.550305944404018,0.550305944404018,0.0324715944019721,-101.896843541979,0.999893055516804,9,NA,"troot(x4)*troot(x4)","x2*x4","x4",0.561182809444223,0.512547484944277,0.455630752663346
"P2",23,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.046770691904734,-94.3406692127019,0.999780708972051,3,NA,"troot((x4*x4)*x7)","x2","x4",0.993993430101068,0.242035635892156,0.134006579239051
"P3",23,FALSE,FALSE,FALSE,FALSE,5,0.678272187213807,0.678272187213807,0.0589743398141495,-99.688620267966,0.998617857501582,5,NA,"x4","troot(x4*x4)","x4*x3",0.624146024573444,0.621917433061155,0.441061782633637
