"","MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
"25",0.38709843,0,0.0001738742,0.034901518,87.97,0.20563661,1,1,1e-08,5778,4.08980117463851
"26",0.72332102,0,0.0025637401,0.08656491,224.7,0.00676399,1,1,1e-08,5778,3.95228588022242
"27",1.00000018,0,0.0031457007,0.091130294,365.2422,0.01673163,1,1,1e-08,5778,4.15651244214511
"28",1.52371243,0,0.0003379953,0.048489079,686.98,0.09336511,1,1,1e-08,5778,2.9646870447667
"29",5.20248019,0,1,1,4332.82,0.0485359,1,1,1e-08,5778,1
"30",9.54149883,0,0.299,0.832944,10755.67,0.05550825,1,1,1e-08,5778,0.517396844664552
"32",30.06952752,0,0.053953,0.35221925,60190.03,0.00895439,1,1,1e-08,5778,1.23474232196099
"34",0.04317,0,0.72,1.32,3.161575,0,1.07,1.09,-0.15,5990,0.313047833708991
"37",26.97,0,7,1.1,41628,0,1.516,1.44,-0.47,7193,5.25920360631104
"38",16.99,0,7,1,20816,0,1.516,1.44,-0.47,7193,7
"39",0.0238,0,1.832,1.264,1.327,0.063,1.022,1.096,0.26,5580,0.907160741848008
"40",0.05235,0,1.057,1.33,3.853003,0,1.29,1.46,-0.13,6570,0.449283081070305
"41",0.0954,0,0.02152,0.2114,10.57375339,0,1.028,1.066,0.27,5687,2.2778615198612
"42",0.04,0,0.62,1.02,3.039577,0,0.92,0.87,0.14,5300,0.584239847419167
"43",0.4937,0,3.25,0.882,125.63243,0.172,1.014,1.122,-0.01,5820,4.73671882630672
"44",0.0575,0,0.975,1.277,4.641876,0,1.179,1.528,0.27,5743,0.468200554718927
"46",0.02945,0,1.47,1.15,1.955096,0.009,0.89,0.84,-0.12,5400,0.966548861675023
"47",0.04747,0,0.714,1.38,3.52474859,4e-04,1.148,1.146,0.02,6075,0.27168205437294
"49",0.03655,0,1.41,1.01,2.21672,0,1.23,1.37,-0.06,6250,1.36853210857798
"51",0.03,0,1.17,1.227,1.689868,0,1.19,1.35,0.37,6210,0.633362248268774
"52",0.0775,0,0.7,0.975,8.5234865,0.018,0.854,0.768,0.09,5280,0.75523862506111
"53",0.0902,0,4.24,0.84,9.2,0.562,1.14,1.02,0.14,5880,7.15365511283879
"54",0.03556,2,1.253,1.169,2.470613402,0,0.983,1.003,0.001,5850,0.784345731676193
"56",0.04288,0,0.356,0.718,2.8758916,0,1.3,1.497,0.36,6147,0.96178204510265
"59",0.039,2,1.265,1.24,2.6556777,0,1.09,0.935,0.08,6112,0.663476385485549
"60",0.038474,0,0.012,0.1433,3.0931,0,0.794,0.778,0.11,4699,4.07795730803961
"63",0.0503,2,0.763,1.827,3.474474,0.148,1.403,1.777,0.05,6446,0.125114860463718
"66",0.0727,0,0.0231,0.120292,6.88705,0.13,1.08,1.49,0.02,5825,13.2709417533856
"67",0.04987,0,0.636,1.653,3.6936411,0.067,1.15,1.4,-0.27,6100,0.140811639445482
"68",0.02448,0,2.101,1.31,1.43037,0,0.956,0.917,-0.37,5620,0.934570709103857
"69",0.04339,0,1.696,1.136,3.577471,0,0.849,0.977,-0.4,5800,1.15688676793952
