"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S6",14,0.879322748576624,3.27450828995559,4.94217821806596,-2531.17848474162,0.758922731910422,15,7882.366,"x1","p3(x5)","p0(p3(x5))",1,1,1
"S1",15,0.870172140991639,3.22456259085824,5.01130145103692,-2375.28729412668,0.752131971112354,15,7257.008,"x1","p3(x11)","x5",1,1,1
"S2",15,0.0595350953427088,5.63610620463908,20.3078334727447,-1727.87499785858,-3.07048954621554,15,7926.042,"x1","sigmoid(x6)","sigmoid(x13)",1,1,1
"S3",15,0.854083132142588,3.15746409363383,5.27038176921093,-2217.99143860822,0.725840305651928,15,7564.898,"p3(x6)","x6","x5*x10",1,1,1
"S4",15,0.757337505442336,4.27185629226499,9.07942039223624,-2152.68282284676,0.186353600372642,15,4864.54,"x1","sigmoid(x13)*x1","x1*x12",1,1,1
"S5",15,0.867276717148616,3.27338369381544,5.01165574948007,-2496.1898269005,0.752096921390439,15,3336.747,"x1","p0(x13)","x4",1,1,1
"S6",15,0.640111597202931,3.9265698841634,8.24901126015307,-1799.2978858639,0.328380573349394,15,3255.766,"x1","x6*(x11*x5)","x11*x5",1,1,1
"S1",16,0.771266594825579,3.85364717463832,9.1566132176171,-1551.01611089548,0.172459616902797,13,7438.702,"x6*x6","x11","(x6*x6)*(x10*x7)",1,1,1
"S2",16,0.825985272300539,3.62966533642381,5.70335520975677,-3356.12670339628,0.678944364059743,15,3361.011,"x1","x13*x1","p3(x2)",1,1,1
"S3",16,0.87144796763192,3.27204422342228,4.98028515016588,-2552.79985165211,0.755190720635047,15,3352.864,"x1","p3(x11)","x5",1,1,1
"S4",16,0.877233749843958,3.19057203533873,5.13282793182138,-2030.06137594882,0.739964364557555,15,7358.457,"x1","x13*x6","p0(p0(x13))",1,1,1
"S5",16,0.858934840229379,3.20643934790905,5.18047238378468,-2435.30682926747,0.735114501712643,15,3387.19,"x10*(x6*x12)","x5","x6",1,1,1
"S6",16,0.81167316544232,3.69093295188398,6.28582594208595,-2300.72737595689,0.610018362248622,15,3455.721,"x6*x11","sigmoid(1+x13)","sigmoid(x11)",1,1,1
