"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S3",5,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438241669944446,0.0769302544076016,-94.3406692127019,0.999800034085716,2,3037.612,"troot(x4*(x4*x7))","x4",NA,0.999277382657248,0.159956157790878,NA
"S4",5,FALSE,FALSE,FALSE,FALSE,3,0.788552607527299,0.788552607527299,0.0694025076924488,0.242903423492969,-99.877214903911,0.998006441852737,3,2774.383,"x4*x3","troot(x4*x4)","x4",0.99999582739552,0.999995483031663,0.155637368217093
"S5",5,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389882090316212,0.0613072229005043,-96.7669448270558,0.99987300549676,2,2723.976,"troot(x4*x4)","x2*x4",NA,1,0.99355928233935,NA
"S6",5,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0930896270657964,0.341772889351407,-99.5125191073179,0.996053275098896,3,2300.963,"x4","x10*x4","x4*troot(x4)",1,0.999999999998006,0.999999999215258
"S1",6,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0387111470822091,0.0610249790850815,-96.7669448270558,0.999874172109898,2,2570.349,"troot(x4*x4)","x4*x2",NA,1,1,NA
"S2",6,FALSE,FALSE,FALSE,TRUE,1,0.45321301523198,-0.0935728909563669,0.0473735999491141,0.081926518615608,-94.3406692127019,0.999773216926632,2,2531.705,"troot(x7*(x4*x4))","x2",NA,1,0.260353304713686,NA
"S3",6,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438022833568539,0.0766022858283264,-94.3406692127019,0.999801735438241,2,2683.366,"troot((x7*x4)*x4)","x4",NA,0.998159666722723,0.14939673640617,NA
"S4",6,FALSE,FALSE,FALSE,FALSE,3,0.377869053809186,0.377869053809186,0.0367663223468128,0.0590237579237523,-96.7669448270558,0.999882289460753,3,2877.252,"troot(x4*x4)","x4*x2","x6",0.999999775589496,0.999999775589482,0.214174008628707
"S6",6,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0402315506150449,0.0620015005482563,-96.7669448270559,0.999870112895167,3,2210.032,"troot(x4*x4)","x4*x2","x2",1,0.993560590849681,0.207008966767558
"S1",7,FALSE,FALSE,FALSE,FALSE,4,0.189608373647879,0.189608373647879,0.0396965495391406,0.0627999475850481,-96.7669448270558,0.999866746017212,4,2559.082,"troot(x4*x4)","x4*x2","x2",1,0.999999556292765,0.199493579982065
