"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S3",9,"Feature5","x7",0.287973632142588,NA
"S3",9,"Feature6","p3(x4)",0.174326897932132,NA
"S3",9,"Feature7","x8",0.146709346891753,NA
"S4",9,"Feature1","troot(x4*(x4*x6))",1,NA
"S4",9,"Feature2","x10",0.306851538792561,NA
"S4",9,"Feature3","x4",0.103746966991155,NA
"S4",9,"Feature4","x9",0.0735986918594665,NA
"S5",9,"Feature1","x4",1,NA
"S5",9,"Feature2","p0(p3(x4))*x4",1,NA
"S5",9,"Feature3","p3(x4)",0.938880759224388,NA
"S5",9,"Feature4","x7",0.686981952573797,NA
"S5",9,"Feature5","x10*x4",0.6758857318208,NA
"S5",9,"Feature6","x5",0.616137974307343,NA
"S5",9,"Feature7","x6",0.588442844014945,NA
"S5",9,"Feature8","x8",0.417508116965406,NA
"S5",9,"Feature9","x1",0.388855254870733,NA
"S5",9,"Feature10","x8*x4",0.340838371115571,NA
"S6",9,"Feature1","troot((x4*x4)*x7)",1,NA
"S1",10,"Feature1","troot(x4*x4)",1,NA
"S1",10,"Feature2","x4*x2",0.973230500231764,NA
"S1",10,"Feature3","x6",0.187322954999662,NA
"S1",10,"Feature4","x2",0.148675943683466,NA
"S1",10,"Feature5","x4",0.10152005112221,NA
"S1",10,"Feature6","x1",0.04803423096503,NA
"S1",10,"Feature7","x8*x4",0.0273235613040032,NA
"S2",10,"Feature1","troot(x6*(x4*x4))",0.99999996157339,NA
"S2",10,"Feature2","x7",0.119551735256287,NA
"S3",10,"Feature1","x4",0.999999960602198,NA
"S3",10,"Feature2","x4*p0(x4)",0.999999778890354,NA
"S3",10,"Feature3","x7*x4",0.999313888084899,NA
