"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S5",19,0.845026529330007,3.25727863757026,6.19152030400506,-1262.59830709963,0.621632295925556,20,5328.9,"x6*x6","p0(x6)","x11*sigmoid(exp_dbl(x6))",1,1,1
"S6",19,0.84585218420111,3.20224151432227,6.03489012029075,-1306.92181957239,0.640533692076397,19,4631.878,"x11*((x6*(x7*x10))*p3(x6))","x6","sigmoid(troot(x6))",1,1,1
"S1",20,0.860047200886828,3.21459605307591,6.04525422886936,-1311.19807899134,0.639297962234118,28,6306.572,"x10*x11","sigmoid(x1+p0(x13*(x11*(x5*x6))))*x5","troot(x6)",1,1,1
"S2",20,0.876244475826211,2.851939040981,5.18056380965102,-1272.26948594864,0.73510515214061,29,5320.396,"x1*x5","sigmoid(exp_dbl(x6))","troot(x3*troot(x9))",1,1,1
"S3",20,0.886362587897725,2.71370909986641,4.68826526045233,-1349.62866277406,0.783057915555269,22,5279.414,"x13*x12","x8*x11","sigmoid(x8+x8)*(exp_dbl(x13)*(x13*x13))",1,1,1
"S4",20,0.817707759617545,3.49379747352678,7.59448430248552,-1269.88705126355,0.430732966523688,20,5122.21,"x9*x12","x7*((x7*x12)*exp_dbl(x3))","x1",1,1,1
"S5",20,0.872378204280454,2.97531716726141,5.1630310461151,-1292.46442333195,0.736895103929894,29,4708.096,"x3*exp_dbl(x9*exp_dbl(x13))","x11","x6*p3(x9*x6)",1,1,1
"S6",20,0.888066277842238,2.85337117701574,5.01603891132058,-1264.4878274756,0.751663102894107,19,4813.673,"x7*x12","x11","x1",1,1,1
"S1",21,0.877392658480278,2.76035422213481,5.4197828219225,-1260.92138279879,0.71007662942277,28,5750.305,"p3(x6)*x11","p0(x9)","x8",1,1,1
"S2",21,0.815131239545454,3.51034315315513,7.48472499159577,-1225.07683577852,0.44706872853001,21,5313.75,"x7*x7","(x13*x5)*x7","x10*((x6*((exp_dbl(x13)*sigmoid(x13))*x1))*x3)",1,1,1
"S3",21,0.880665364440909,2.59499224284572,4.89461431094247,-1234.3428639989,0.763540695355918,27,5657.72,"x9","(x7*x12)*x6","troot(x13)",1,1,1
"S4",21,0.860299000791833,3.07601819155103,5.54645859449666,-1289.10544437355,0.696365576066625,22,5145.382,"x10","x13*x5","x1",1,1,1
"S5",21,0.835175236173372,3.24609055354584,6.94280468884184,-1311.07222309804,0.524238436209768,29,4607.575,"(x10*x9)*x6","x6*x11","p3(x3*(exp_dbl(p0(x13*(x8*x6)))*x6))*p0(p3(x6))",1,1,1
"S6",21,0.894929446749207,2.75771160842324,4.53022458665641,-1324.02975814267,0.797437558788543,17,4691.077,"p3(x6)","troot(x8)","x7",1,1,1
"S1",22,0.910329420805295,2.57449351098937,4.17887196421283,-1217.67576906403,0.827639562837169,29,5343.623,"x5*(x13*x10)","x13","x11",1,1,1
"S2",22,0.915180544166627,2.56896728271415,4.05695795738816,-1258.17081817876,0.837549717474197,22,5250.036,"troot(x9)","p3(x8)","(((x6*x6)*x9)*p3(x6*x6))*x6",1,1,1
"S3",22,0.912472043745256,2.64481594249177,4.31287907791486,-1247.11069367721,0.816407886930155,26,5866.567,"x7","x13*x6","troot(x3)",1,1,1
"S4",22,0.919292648792266,2.47595707542443,3.97158906729407,-1329.74165000346,0.844314534390796,25,4830.91,"exp_dbl(exp_dbl(p0(x8)))","p0(x10)","x12",1,1,1
"S5",22,0.883601702741666,2.65235528163243,4.75127705522803,-1434.90513486733,0.777187183702206,22,4808.654,"x7","x3*troot(troot(x10)*(x5*x13))","(x12*p0(x9))*(((x9*(x13*x6))*sigmoid(1+(x2+x13)))*x12)",1,1,1
"S6",22,0.887895796543713,2.95432805387147,4.70535875568985,-1340.4889842889,0.78147308255598,23,4440.328,"troot(x6)*p0(x11)","x8*x1","x6*x7",1,1,1
"S1",23,0.819996362617353,3.07307914065326,5.83325604594857,-1226.01265996093,0.66415295110395,24,5959.559,"x6*(exp_dbl(exp_dbl(x3))*(x13*x10))","p0(x6)*((x5*x11)*(x12*x7))","(x12*x6)*x5",1,1,1
"S2",23,0.913428968413133,2.55236370457588,4.10639656344288,-1233.02098394995,0.833566313690998,24,5142.444,"p3(x13)","x8","x6*x12",1,1,1
"S3",23,0.898318682873112,2.43831095400369,4.42841724935177,-1328.69141107205,0.806439594048849,31,5103.782,"(x10*(sigmoid(x13)*sigmoid(x13)))*((x13*x9)*x10)","p3(p0(x12*x5))","(x13*x6)*x5",1,1,1
"S4",23,0.90902974910469,2.64365098933742,4.21438139293365,-1258.07413283455,0.824697896064287,18,4894.937,"x5*((p3(x3)*x9)*p0(p0(x13)))","p0(x8)","x7",1,1,1
"S5",23,0.835524269096156,3.31604749893123,6.63816771172402,-1256.73252150634,0.565073472012258,26,5058.587,"troot(x8)","(x5*(x10*x13))*(p3(x6)*x10)","troot(exp_dbl(x13))*x6",1,1,1
"S6",23,0.870020710811486,2.98854343040912,5.51545504958162,-1349.28253460784,0.699750594780961,21,4731.862,"x8","x6*sigmoid(p0(x10))","troot((x13*p3(sigmoid(x9)))*x5)",1,1,1
"S1",24,0.895240109682703,2.95443258060719,5.34424969711782,-1279.6467616088,0.71810138678266,21,5568.911,"(x5*((x9*x13)*x13))*(x10*x13)","(x5*p0(x8))*(x10*x13)","p0(x8*(x11*x13))*x13",1,1,1
"S2",24,0.809003582547962,3.43993692135321,7.80443813673353,-1285.86096776192,0.398822467295994,31,5021.273,"p3(1+x10)","(x7*x10)*(x12*(x7*x9))","p0(x10)",1,1,1
"S3",24,0.860299999984911,3.09319041601868,5.77384117558603,-1262.10331648171,0.670959676540608,24,5754.983,"x7","x8*(x1*x1)","x1*x5",1,1,1
"S4",24,0.817508633199941,3.65426425426757,7.60807649851752,-1338.32082368574,0.428693456541512,21,5080.345,"x6*x6","x10","p0(p3(x13))*(x6*x6)",1,1,1
"S5",24,0.857493088697408,3.09447698239801,5.88691631678103,-1282.02986580971,0.657945599930429,19,4972.008,"troot(x6*troot(p0(x10)))","x12","(exp_dbl(x8)*x6)*x13",1,1,1
"S6",24,0.903161280089724,2.67281664036418,4.3392375375186,-1389.65098655595,0.81415695766568,19,4755.372,"x13*p0(x9)","p0(p0(x13))","x12*x5",1,1,1
"S1",25,0.918736813326235,2.70234864853718,4.17514871390038,-1277.21174171592,0.827946562032619,25,5274.317,"p3(x6)","(x7*x12)*sigmoid(troot(x10))","p3((x6*x11)+p3(x6))*x13",1,1,1
"S2",25,0.902456084964431,2.8633428961106,4.47277051174698,-1263.20309592323,0.802542929784533,24,5106.731,"p3(x10)","x11","troot(x10)",1,1,1
"S3",25,0.848510022277699,3.03398064336511,5.74145932935273,-1388.64587444265,0.674640087699844,22,4733.275,"x8","p0(x13)","x12",1,1,1
"S4",25,0.900963324390122,2.76809220350021,4.45695037044378,-1347.51914747519,0.803937266615633,20,4939.844,"p3(x6*x9)","p3(x11*x1)","((exp_dbl(p0(x13)*x5)*x10)*x9)*x8",1,1,1
"S5",25,0.818240925977564,3.39773137614574,7.40078480371127,-1328.37972790556,0.459401284825696,24,4684.958,"p3(p3(x6))","x7*(sigmoid(x6)*((x6*(x6*(x6*(x9*x6))))*x5))","troot(x12)",1,1,1
"S6",25,0.44694542228593,12.4042375012364,76.0702174148357,-1322.75914178009,-56.1148146569362,29,5043.944,"x13*(x1*((x1*exp_dbl(x13))*x4))","(x7*p3(((x5*exp_dbl(x13))*(x1*x8))*x7))*exp_dbl(x13)","x11*x10",1,1,1
"S1",26,0.878599029464303,3.04792498577707,5.2235009948536,-1287.38029852232,0.730695989937863,20,5274.505,"x7","p3(x7)","x6*x12",1,1,1
"S2",26,0.604748667863196,5.64993622725295,23.3001959099651,-1241.08906076119,-4.35844283643977,25,5506.083,"x6*x13","x6*x7","exp_dbl(x13)",1,1,1
"S3",26,0.90974110086066,2.7892685851441,4.19059847164735,-1319.30527720841,0.826670869930394,27,4657.595,"p3(x9)*p0(x13)","p3(x9)*x10","x5",1,1,1
"S4",26,0.867302134074063,2.81266280284567,5.11018486077627,-1302.81700330656,0.742253558041868,21,5139.518,"x8","p3(exp_dbl(x1))","x6*((x6*(x6*(((x6*troot(x10))*x9)*x6)))*x11)",1,1,1
"S5",26,0.837067917167411,3.34381900760249,6.89795970930816,-1241.89527577207,0.530364667130206,28,5623.23,"x6*x12","(x6*x11)*(x12*x7)","x6*x6",1,1,1
"S6",26,0.863949807406356,3.09368832527594,5.86378075872799,-1304.15334247159,0.660628861848362,26,4473.097,"sigmoid(x8)*x3","troot(troot(x1)*x5)","x3",1,1,1
"S1",27,0.915335393159458,2.54330288164049,4.07343554225806,-1234.08235642921,0.836227433972114,28,6073.764,"x9","(x7*x6)*(x6*(x11*x6))","x10*x13",1,1,1
"S2",27,0.905293289769036,2.84979944102674,4.35081961788796,-1250.37245533864,0.81316354735358,32,5119.539,"x10*((x12*(x7*x13))*(x7*x6))","p3(x6)*(x6*(x10*((x6*x11)*x6)))","p0(x3)",1,1,1
"S3",27,0.879760270147602,3.01381260818452,5.09188140389914,-1345.66167255593,0.744096623319061,20,4412.976,"x12*(x9*x13)","(((x11*(x6*x10))*(x5*x6))*x6)*p0(x7)","x7*exp_dbl(x9)",1,1,1
"S4",27,0.912272699683563,2.65000603306084,4.15976234782474,-1270.12951128189,0.829212336957069,26,5145.951,"x13*x10","sigmoid(x9)*x5","x12*x7",1,1,1
